question,option0,option1,option2,option3,correctAnswer,level,audio
නරියා කොහොල්ලෑ බබෙක් සාදාගැනීමට භාවිත කල අමුද්‍රව්‍යක් වන්නේ මින් කුමක් ද?,කොස් කිරි,පොල් කිරි,තල් කිරි,කල් කිරි,0,1,
"""කලා, තෝපා, තිසා, මිණිහිරි, අබා..."" මේවා,",ගම්මාන වල නම්ය,රජවරුන්ගේ වල නම්ය,ඔයවල් වල නම්ය,වැව් වල නම්ය,3,2,
"සෙන්ටිමීටර් 30ක් දිගැති පාන් ගෙඩියකින්, සෙන්ටිමීටර් දශම 6ක් ඝනකම ඇති පාන් පෙති කීයක් කැපිය හැකි ද?",36,50,60,66,1,3,
මේ අතරින් කුරුල්ලෙකු වන්නේ කවු ද?,නයිටිංගේල්,වික්ටෝරියා,මෙඩියුසා,වීනස්,0,4,
"අන්දරේලා නාට්‍යයේ, ලෝකයේ හරි මැද කොතැනදැයි රජු ඇසූ විට අන්දරේ දුන් පිළිතුර වන්නේ කුමක් ද?",තමන් සිටින ස්ථානය,මහා මේරුව මුදුන,මාතලේ ගෙඩිගෙය,මරියානා ආගාධය,0,5,
"සෙනරත් පරණවිතානට අනුව ""මේඝලතා සහ විජ්ජුලතා"" හමුවන්නේ කොහේ ද?",තන්තිරිමලේ,සීගිරියේ,වෙස්සගිරියේ,පිදුරංගල,1,6,
"මෙක්සිකෝවේ,",නැගෙනහිරින් එක්සත් ජනපදයයි,බටහිරින් එක්සත් ජනපදයයි,දකුණින් එක්සත් ජනපදයයි,උතුරින් එක්සත් ජනපදයයි,3,7,
නිදහස් චතුරශ්‍රයේ දී ජනාධිපති ධූරයේ දිවුරුම් දුන්නේ කවුරුන්ද?,රණසිංහ ප්‍රේමදාස,මහින්ද රාජපක්ෂ,මෛත්‍රීපාල සිරිසේන,චන්ද්‍රිකා බණ්ඩාරනායක,2,8,
1996 ක්‍රිකට් ලෝක කුසලානය පිළිබඳව වැරදි ප්‍රකාශය කුමක්ද?,ශ්‍රී ලංකාව ඕවර 46.2 කින් තරගාවලිය නිම කළේය,අරවින්ද ද සිල්වා ශතකයක් වාර්තා කළේය,සනත් ජයසූරිය හා රොමේෂ් කලුවිතාරණ ආරම්භක පිතිකරුවන් ය,අගමැති ඛලීඩා ෂියා අතින් කුසලානය පිරිනැමිණි,3,9,
ලතා මංගේෂ්කාර් ප්‍රථම වරට සිංහල බසින් ගායනා කළ ගීතය ඇතුළත් වූයේ මින් කුමන චිත්‍රපටයක ද?,සැඩ සුළං,සුජාතා,අයෝමා,මාරුතය,0,10,
"1505 දී ලොරෙන්සෝ ද අල්මේදා ඇතුළු පෘතිගීසි නාවික පිරිස කුණාටුවකට හසු වී පැමිණ ගොඩ බසින්නේ ශ්‍රී ලංකාවේ,",කළු ගග මුහුදට වැටෙන දිස්ත්‍රික්කයටයි,කැළණි ගඟ මුහුදට වැටෙන දිස්ත්‍රික්කයටයි,ගිං ගඟ මුහුදට වැටෙන දිස්ත්‍රික්කයටයි,මහවැලි ගඟ මුහුදට වැටෙන දිස්ත්‍රික්කයටයි,2,11,
"ඉන්දියාවේ පාලනය මුළුමනින්ම බ්‍රිතාන්‍ය සතු කර ගනිමින් ""British Raj"" ස්ථාපිත කළේ කවර වසරක දී ද?",1605,1797,1814,1858,3,12,
අං නැති - දළ ඇති - කිරි බොන සතා කවුද?,ගෝණා,ඌරා,නයා,වවුලා,1,1,
ඔබට සුදු කඟවේනෙක් ස්වභාවික පරිසරයේ අල්ලාගැනීමට හැකි සම්භාවිතාව කොපමණද?,0%,20%,50%,100%,0,2,
ATM යන්ත්‍රයකින් මුදල් ලබා ගන්නා විට අනුගමනය කළ යුතු පියවරක් නොවන්නේ මේ අතරින් කුමක් ද?,භාෂාව තේරීම,පින් අංකය ඇතුළත් කිරීම,කාඩ්පත් වර්ගය තේරීම,ගිණුම් වර්ගය තේරීම,2,3,
"""මන්දෝදරී"" යනු කාගේ කවුද?",රාමා ගේ නැගණිය,රාවණාගේ බිරිඳ,හනුමන්තාගේ මව,සීතාගේ නැගණිය,1,4,
මේ අතරින් සැබෑ ජීවිතයේදී සත්‍ය වන්නේ කුමක්ද?,අත්තෙන් අත්තට පනින කුරුල්ලා තෙමී නසී,යුද්දෙට නැති කඩුවෙන් කොස් කෙටිය නොහැක,නොපෙරලෙන ගලේ පාසි බැඳේ,පණ්ඩිතයාට ඒදණ්ඩේ යා නොහැක,2,5,
"""ලේනෝ ලේනෝ මේ දත අරගෙන අලුත් දතක් මට දියෝ"" මෙසේ පවසන දරුවාගේ වයස විය හැක්කේ",අවුරුදු 3 යි,අවුරුදු 4 යි,අවුරුදු 7 යි,අවුරුදු 13 යි,2,6,
සුදු රුධිරාණු වලට අයත් නොවන්නේ මින් කුමක්ද?,වසා සෛල,මොනොසයිට,රුධිර පට්ටිකා,බේසොෆිල,2,7,
දඹදෙනිය රාජධානියේ රජකෙනෙකු වන්නේ මින් කවුද?,දෙවන පරාක්‍රමබාහු,හතරවන පරාක්‍රමබාහු,පස්වන පරාක්‍රමබාහු,හයවන පරාක්‍රමබාහු,0,8,
ත්‍රිකුණාමළ වරාය,ශ්‍රී ලංකාවේ විශාලතම වරායයි,ඉන්දියන් සාගරයේ ගැඹුරුම ස්වභාවික වරායයි,ලන්දේසීන් විසින් ඉදි කරන ලදී,ශ්‍රී ලංකාවේ ගිනිකොණ දිග මුහුදට ආසන්නයි,1,9,
නෙයින මට්ටු කළ කොටහෙන පොලිසියේ සාජන් මේජර් කවුද?,ශ්‍රීමත් ජෝන් කොතලාවල ගේ පියා,ශ්‍රීමත් නිකොලොස් ආටිගල ගේ පියා,ශ්‍රීමත් බාරොන් ජයතිලක ගේ පියා,ශ්‍රීමත් ඔලිවර් ගුණතිලක ගේ පියා,0,10,
"""බුබුල් බුබුල් බණ්ඩක්කා තුට්ටු දෙකට මං ගත්තා. තුට්ටු දෙකට මං අරගෙන තුට්ටු තුනට මං වික්කා""",මා ලැබූ ලාභය තුට්ටු 1,මා ලැබූ ලාභය තුට්ටු 2,මා ලැබූ ලාභය තුට්ටු 3,මා ලැබූ ලාභය තුට්ටු 4,0,1,
මහනුවරට සෙංකඩගල නම් කුරුණෑගලට කුමක්ද?,පුලතිසිපුර,හස්තිශෛලපුර,මාගම්පුර,සොයිසපුර,1,2,
"පන්දු යවන්නා, පන්දු යැවීමේදී අනිවාර්යෙන්ම,",තොප්පිය විනිසුරුට දිය යුතුය,පන්දුව පලුදු නොකලයුතුය,දැවීයාමකදී කෑගසා ඉල්ලුම් කළ යුතුය,නායකයාගෙන් පමණක් පන්දුව භාරගත යුතුය,1,3,
මේ අතරින් මිනිසාට සමාන ඇඟිලි ගණනක් පෙර පාදයේ නැත්තේ කාටද?,හූනා,කටුස්සා,ගෙම්බා,වළහා,2,4,
වසා ගත් දොර මගේ හිමියනි - නුඹට රිසිනම් යන්ට යන්නෙමි මෙම ගීතයේ එන පද පෙළක් නොවන්නේ කුමක්ද?,කාලයක් අපි ආදරෙන් සිටි සොඳුරු මතකය අරන් යන්නෙමි,බැන්ද රන් දම් මගේ ගෙල වට මුදා විසිකොට අඬන අහසට,මගේ සිහිනයේ නුඹ නිදන් කොට කුරුටු ගී දහසක් ලියන්නෙමි,අත්හල මැන දැන් මෙතුවක් මට බැඳි සෙනෙහස,3,5,
මෙම ගොඩනැගිලි සහ ඒවා පිහිටා ඇති ස්ථාන අනුව වැරදි යුගලය කුමක්ද?,ටජ් මහල් - අග්‍රා,පාතිනෝන් - ඉස්තාන්බුල්,ගීසා පිරමීඩ - ඊජිප්තුව,මචු පිචු - පේරු,1,6,
පළමු විමලධර්මසූරිය මහනුවර රජ කරන විට ලංකාවේ වෙරළබඩ පාලනය කළේ කවුරුන්ද?,පෘතුගීසීන්,ලන්දේසීන්,ඉංග්‍රීසීන්,සීතාවක මායාදුන්නේ,0,7,
බැරක් ඔබාමා විසින් රචනා කරන ලද කෘතියක් නො වන්නේ මින් කුමක්ද?,Dreams from My Father,The Audacity Of Hope,My Life,A Promised Land,2,9,
"සන්නද්ධ ඇදුමින් සැරසී ආවත්, කඩු හෝ තුවක්කු රැගෙන ආවත්, අශ්වයන් පිට හෝ සන්නද්ධ රථ වලින් ආවත්, යුද ජයග්‍රහණයේ උත්කර්ෂය රැඳී ඇත්තේ කාන්තාවන් පීඩාවට පත් කිරීම මතයි"" මෙය කාගේ ප්‍රකාශයක්ද?",මොනිකා රුවන්පතිරණ,රාජිණී තිරාණගම,ජීන් අරසනායගම්,කුමාරි ජයවර්ධන,1,10,
ඉලොන් මස්ක් අවුරුදු දොළහේදී නිර්මාණය කර ඩොලර් පන්සියයකට විකුණා දැමූ පරිගණක ක්‍රීඩාව කුමක්ද?,Space invaders,Blaster,Pac-Man,Asteroids,1,11,
ට්‍රෝජන් යුද්ධයේදී ට්‍රෝයි රජුගේ අගමෙහෙසිය වුයේ කවුරුන්ද?,ඇන්ඩ්‍රොමැකී,කැසැන්ඩ්‍රා,හෙලෙන්,හෙකුබා,3,12,
2013 වසරේ කොළඹ පැවැති පොදු රාජ්‍ය මණ්ඩලීය රාජ්‍ය නායක සමුළුවට සහභාගී නොවූ රාජ්‍ය නායකයා කවුද?,බ්‍රිතාන්‍ය අගමැති ඩේවිඩ් කැමරන්,ඕස්ට්‍රේලියානු අගමැති ටෝනි ඇබට්,බංගලාදේශ අගමැති ෂීක් හසීනා,ඉන්දියානු අගමැති මන්මෝහන් සිං,3,13,
නොබෙල් සාම ත්‍යාග දිනූ ඉන්දියානු ජාතිකයා මේ අතරින් කවුද?,සීවී රාමන්,මහත්මා ගාන්ධි,කයිලාශ් සත්‍යාර්ති,අමර්ත්‍යා සෙන්,2,13,
මේ අතරින් වැරදි ප්‍රකාශය කුමක්ද?,මහමෙර නොසැලේ සුළඟින් කිසි කාලේ,නැත කළුපාට කිරි හී,හිරු නොනගී අවරගිරේ හී,ගිරිහෙල් මුදුනේ මානෙල් සුපිපේ,3,1,
පිටි ග්‍රෑම් 500 කින් කැවුම් 50ක් හෝ කොකිස් සීයක් සාදාගත හැක. කැවුම් 25 ක් සහ කොකිස් 50 ක් සාදා ගැනීමට අවශ්‍ය පිටි ප්‍රමාණය කොපමණ ද?,ග්‍රෑම් 150,ග්‍රෑම් 250,ග්‍රෑම් 300,ග්‍රෑම් 500,3,2,
කාලය ඉකුත් නොවන්නේ මින් කුමකද?,පොල් පැණි,කිතුල් පැණි,මී පැණි,කිරි පැණි,2,1,
"-9 ට +1 ක් එකතු කළ විට ලැබෙන පිළිතුර වන්නේ,",10,9,-8,-7,2,2,
"""රාස්සිගේ අව්ව වැටී දඹ රන් වූ ඔබෙ කෙහෙරැලි"" දැක ගැනීමට හැකි වන්නේ මින් කුමන වෙලාවක ද?",උදෑසනට,මද්දහනට,අලුයමට,ගොම්මනට,3,3,
RADAR රහස් භාෂාවකින් මේ ලියා ඇත්තේ කුමක් නොවිය හැකිද?,මිහිඳුහිමි,රතුකතුර,නාගොඩගොනා,මහරගම,3,4,
"""කොමුල් අමඩ් ලෙඩ් ලිනසී - එ බොන්ද මියුර් යහ බැසී"" මෙසේ කවියා සීගිරි ලලනාව සමාන කළේ කුමකටද?",අඹ ගෙඩියකට,කටරොල් මලකට,කොමඩු ගෙඩියකට,මහනෙල් මලකට,2,5,
"""මදුරා පුර රජ ගෙයක උපන්නේ - නොකැරා සැප සම්පත් වළඳින්නේ - පවරා අගමෙහෙසිය වී එන්නේ"" මේ කාගේ අගමෙහෙසිය විය හැකි ද?",පළමු විමලධර්මසූරිය රජු,වීර පරාක්‍රම නරේන්ද්‍රසිංහ රජු,පළමු පරාක්‍රමබාහු රජු,පණ්ඩුකාභය රජු,1,6,
"""රුසිරු ලදුනි ඔබ ප්‍රේමයෙනා - ඔද වේ මා හද පෑ සොමි රැස් කිරි සයුර මෙනා..."" මනමේ කුමරු මෙසේ ගයන්නේ,",වනාන්තරය යමින් සිටියදී,විවාහයෙන් පසුව,රාජගුරු විවාහයට කැමැති දැයි විමසූ විට,වැද්දන් හමුවීමෙන් පසුව,0,7,
සුදු යකඩ මල නොබැඳෙන්නේ ඇයි?,ඇලුමිනියම් මිශ්‍ර නිසා,ක්‍රොමියම් මිශ්‍ර නිසා,සල්ෆර් මිශ්‍ර නිසා,කාබන් මිශ්‍ර නිසා,1,8,
බෙංගාල බොක්ක ආශ්‍රිත රටවල සහයෝගිතා සංවිධානය හෙවත් BIMSTEC සංවිධානයේ සාමාජික රටක් නොවන්නේ මින් කුමක්ද?,පිලිපීනය,ඉන්දියාව,බංග්ලාදේශය,මියන්මාරය,0,9,
"කන්ද කෙන්ද කරනු පිණිස,",ඇලපිල්ලක් දමයි,ඉස්පිල්ලක් දමයි,පාපිල්ලක් දමයි,කොම්බුවක් දමයි,3,1,
ලී කෙළි මාලයේ එක් පිලකට කී දෙනෙක් සිටීද?,3 දෙනෙක්,4 දෙනෙක්,5 දෙනෙක්,6 දෙනෙක්,0,2,
තෙමී නැසෙන්නේ මින් කවුද?,අත්තෙන් අත්තට පනින කුරුල්ලා,ගලෙන් ගලට පනින ඇතිනියා,ඉවුරෙන් ඉවුරට පනින ගොනා,කන්දෙන් කන්දට පනින එළුවා,0,1,
වී කිලෝ තුනකින් සහල් කිලෝ දෙකක් ලබාගත හැක වී කිලෝවක ඇති දහයියා බර කොපමණද?,ග්‍රෑම් 111,ග්‍රෑම් 333,ග්‍රෑම් 444,ග්‍රෑම් 666,1,2,
වලිගයක් නැත්තේ මින් කාටද?,ස්නෝවිට,ටොම්ට,පින්ක් පැන්තර්ට,ස්පොන්ජ්බොබ්ට,3,3,
ක්‍රීඩාවේ දී වැලි පිටියක් මතට පනින්නේ මින් කවුද?,රිටි පැනීමේ ක්‍රීඩකයා,ජිම්නාස්ටික් ක්‍රීඩකයා,දුර පැනීමේ ක්‍රීඩකයා,උස පැනීමේ ක්‍රීඩකයා,2,4,
මෙය කවර චිත්‍රපටයක පූර්ව ප්‍රචාරක පටයක් විය හැකිද? [Joe Abeywickrama dialogue],වැලිකතර,බඹරු ඇවිත්,දෑස නිසා,පුරහද කලුවර,3,5,
ලබ් ඩබ් යනුවෙන් පපුව ප්‍රදේශයෙන් ඇසෙන ශබ්දය කුමක්ද?,හෘද කපාට ක්‍රියාකරන ශබ්දයයි,හෘදය සංකෝචනය වන ශබ්දයයි,රුධිරය ගලා යන ශබ්දයයි,පෙනහළු ක්‍රියාකරන ශබ්දයයි,0,6,
වර්තමානයේ දී උපයන විට ගෙවීමේ බද්ද හෙවත් PAYE Taxගෙවීමට සිදුවන්නේ මාසික ආදායම කීයට වඩා වැඩි අයට ද? (2023),"රු. 50,000","රු. 75,000","රු. 100,000","රු. 200,000",2,7,
කෘතිම බුද්ධිය පිළිබඳව නිවැරදි ප්‍රකාශයක් වන්නේ මින් කුමක්ද?,කෘතිම බුද්ධිය සෑම විටම නිවැරදි වේ,කෘතිම බුද්ධියක් පාලනය වන්නේ පරිගණකයක් මගිනි,මිනිසුන් විසින් සිදු කරන ඕනෑම ක්‍රියාවක් කෘතිම බුද්ධියකින් සිදු කළ හැක,සෑම රොබෝවරයෙක් ම කෘතිම බුද්ධියක් මගින් පාලනය වෙයි,1,8,
මීමුරේ පිහිටා ඇත්තේ කුමන කඳු පන්තියක් ආශ්‍රිතව ද?,නකල්ස් කඳු පන්තිය,නමුණුකුල කඳු පන්තිය,ශ්‍රීපාද කඳු පන්තිය,ගල් ඔය කඳු පන්තිය,0,9,
"""මා ඉන්න තුරු ඔබ කාටවත් බය වෙන්න එපා. ඉස්සර වගේම ඉස්කෝලෙ වරෙන්. ඉගෙන ගනින්. වෙන දේවල් ගැන කල්පනා කරන්න එපා."" මෙම උපුටාගැනීම ඇතුළත් වන්නේ කිනම් නවකතාවක ද?",ජේන් අයර්,ගුරු ගීතය,හරි පුදුම ඉස්කෝලේ,අරණකට පෙම් බැඳ,1,10,
පැසිෆික් සාගරයේ පිළිබඳ අසත්‍ය වන්නේ මින් කුමක්ද?,මරියානා ආගාධය එහි පිහිටා ඇත,මහා බාධක කොරල් පරය එහි පිහිටා ඇත,බර්මියුඩා ත්‍රිකෝණය එහි පිහිටා ඇත,පොලිනීසියානු දූපත් එහි පිහිටා ඇත,2,11,
ඉක්කත් දික්කත් ගාලු යමින් සිටි අවස්ථාවක ඉක්කා අතරමං විය. ගාල්ලට පැමිණි බව ඉක්කා දැනගන්නේ මින් කුමක් දැකීමෙන් විය හැකිද?,ගොල්ෆ් පිටියක්,රක්ෂිත වනාන්තරයක්,බලකොටුවක්,දියඇල්ලක්,2,1,
"""විනී ද පූහ්"" කැමතිම ආහාරය මින් කුමක්ද?",පලතුරු බීම,මීපැණි,ලසඤ්ඤා,හුළං විස්කෝතු,1,2,
ක්‍රිකට් ක්‍රීඩාවේ දී අනිවාර්ය වන්නේ මින් කුමක්ද?,උඩ පන්දුවක් රැක ගත් විට පන්දුව උඩ දැමිය යුතුය,තරගයක පන්දු යැවීම ආරම්භ කළ යුත්තේ වේග පන්දු යවන්නන් ය,පිතිකරුවන්ට ලකුණු හතරකට වඩා කඩුලු අතර දිව යා නොහැකිය,පන්දු යවන්නෙක් ට පිට පිට ඕවර දෙකක් පන්දු යැවිය නොහැක,3,3,
ථූපාරාමය පිළිබඳ වැරදි ප්‍රකාශය මෙන් කුමක්ද?,දෙවන පෑතිස් රජු විසින් ඉදි කරන ලදී,බුදුන්ගේ දකුණු අකු ධාතුව නිදන් කොට ඇත,දාගැබ බුබුලාකාර හැඩතිය,අනුරාධපුර මහමෙව්නාවේ පිහිටා ඇත,2,4,
ඇවටාර් චිත්‍රපටියේ පෘථිවි වාසීන් ආක්‍රමණය කරන ලෝකය කුමක්ද?,ටයිටන්,පැන්ඩොරා,ටැටූඉන්,කෙප්ලර්,1,5,
මාර්ක් සකර්බර්ග් ෆේස්බුක් නිර්මාණය කළේ කවර විශ්වවිද්‍යාලයක අධ්‍යාපනය ලබන අතරේ දී ද?,හාවඩ්,යේල්,ඔක්ස්ෆර්ඩ්,ස්ටැන්ෆර්ඩ්,0,6,
ලංකාවේ සර්වජන ඡන්ද බලය පිළිබඳ වැරදි ප්‍රකාශය කුමක්ද?,අවුරුදු 21 ට වැඩි අයට පමණක් ආරම්භයේ දී හිමිවිය,ඩොනමෝර් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය හේතුවිය,සර්වජන ඡන්ද බලය ලැබූ ආසියාවේ පළමු රාජ්‍යයයි,රථම පාර්ලිමේන්තු මැතිවරණය වෙනුවෙන් හඳුන්වා දුන්නේය,3,7,
මෙම මුහුදු ජීවින් අතරින් මත්ස්‍යයෙක් වන්නේ කවුද?,ඉස්සා,දැල්ලා,බූවල්ලා,මඩුවා,3,8,
පළමු ලෝක යුද්ධය අතරතුරදී සිදු වූයේ මින් කුමක්ද?,රුසියානු විප්ලවය ආරම්භ වීම,එක්සත් ජාතීන්ගේ සංවිධානය බිහි වීම,මාවෝසේතුං චීනයේ බලය ලබාගැනීම,ඊශ්‍රායලය බිහිවීම,0,9,
2022 කටාර් පාපන්දු ලෝක කුසලාන තේමා ගීතය ගායනා කරන්නේ කුමන සංගීත කණ්ඩායමක සාමාජිකයෙක්ද?,One Direction,BTS,Black Pink,21 Pilots,1,10,
වර්තමානයේ දී කාන්තාවක් අගමැති ධූරය නොදරන රාජ්‍ය මින් කුමක්ද? (2023 March),ෆින්ලන්තය,බංග්ලාදේශය,ඩෙන්මාර්කය,නවසීලන්තය,3,11,
උප්පුවේලි වෙරළ තීරය අයත් වන්නේ කවර දිස්ත්‍රික්කයකට ද?,මඩකලපුව,ත්‍රිකුණාමලය,පුත්තලම,මන්නාරම,1,12,
මේ අතරින් ශ්‍රී ලංකා මහ බැංකුව විසින් මෙරට තහනම් කර ඇති ව්‍යාපාර වර්ගයක් නොවන්නේ කුමක්ද?,නෙට්වර්ක් මාකටින් වැඩසටහන්,ඩ්‍රොප්ශිපින්ග්,පිරමීඩ යෝජනා ක්‍රම,පොන්සි යෝජනා ක්‍රම,1,12,
මේ අතරින් වැරදි කුමක්ද?,ප්‍රථමයෙන්ම කක්ෂගත වූ කෘතිම චන්ද්‍රිකාව සෝවියට් නිෂ්පාදනයකි,ප්‍රථමයෙන්ම අභ්‍යවකාශයට ළඟා වූ මිනිසා සෝවියට් රුසියානුවෙකි,ප්‍රථමයෙන්ම අභ්‍යවකාශයට ළඟා වූ කාන්තාව ඇමෙරිකානුවෙකි,සදමත පා තබා ඇති සියල්ලෝම ඇමරිකානුවන්ය,2,13,
මහා ඇලෙක්සැන්ඩර් ගැන වැරදි වන්නේ මින් කුමක්ද?,මැසිඩෝනියාවේ රජුවිය,ඊජිප්තුවේ රජු විය,පර්සියාවේ රජුවිය,රෝමයේ රජු විය,3,14,
සකපෝරුව භාවිත නොකර වැටි වැඩ කරන්නේ මේ අතරින් කවුද?,කුරුමිණියා,මී මැස්සා,රන්කුඹලා,කළු කූඹියා,2,1,
බෝලය අතේ තබාගෙන දුවන්නෙ මින් කවුද?,බාස්කට්බෝල් ක්‍රීඩකයා,රග්බි ක්‍රීඩකයා,වොලිබෝල් ක්‍රීඩකයා,නෙට්බෝල් ක්‍රීඩිකාව,1,2,
කයෝටි නරියා කොපමණ උගුල් ඇටවුවත් අල්ලා ගත නොහැක්කේ කවුද?,ජෙරී,ට්විටී,බග්ස් බනී,රෝඩ් රනර්,3,3,
ගොවිපලක සිටින එළුවන්ගේ පාද ගනන සහ ඔලු ගණන අතර වෙනස 36කි. මෙහි සිටින එළුවන් ගණන කොපමණද?,10,12,14,16,1,4,
නන්දා මාලිනීගේ රට කරවන්න නම් ගීතයේ නොගැයෙන පදය මින් කුමක්ද?,හෝර්ටන් තැන්න දී ක්‍රීඩා පිටියකට,පවරා සිංහරාජය ලී මෝලකට,දුන්හිදඇල්ල විකුණා හෝටලයකට,කළු ගල් වලට විකුණාගෙන සීගිරිය,2,5,
නැති වූ පා සළඹක් වටා ගෙතුණු පුරාවෘත්තයකට අදාල නොවන්නේ මින් කුමක්ද?,තේවානි,කෝවලන්,කන්නගී,පාලඟ,0,6,
කොම්පඤ්ඤවීදියේ නැත්තේ මින් කුමක්ද?,ඉස්පිල්ල,පාපිල්ල,ඇලපිල්ල,හල් කිරීම,1,1,
අන්නාසි ගෙඩියක හැඩය ගත් නිවසක ජීවත් වෙන්නේ මේ අතරින් කවුද?,ටොම්,පින්ක් පැන්තර්,ගාෆීල්ඩ්,ස්පොන්ජ් බොබ්,3,2,
රතු ඔරලෝසුව වැඩ කරන්නේ නැත. කළු ඔරලෝසුව පැයකට විනාඩියක් ද කහ ඔරලෝසුව පැයකට විනාඩි පහක් ද අඩුවෙන් පෙන්වයි. දිනක් තුළ වැඩි වාර ගණනක් නිවැරදිව වෙලාව පෙන්වන්නේ කුමක්ද?,රතු ඔරලෝසුව,කළු ඔරලෝසුව,කහ ඔරලෝසුව,එකකවත් නොපෙන්වයි,0,3,
"""රන් තැඹිලි ගස් දෙකයි, ගොන් තැඹිලි ගස් දෙකයි, ගස් එකකට මල් දෙකයි, මල් එකකට ගෙඩි දෙකයි"" මේ ගස් දෙකේම ගෙඩි කීයක් තිබේද?",4,8,16,32,2,1,
"""පිරිසිඳු පිරුවට ඇඳ පේ වෙන්නේ - දානෙට එන වග සත් දෙන දන්නේ"" මෙයින් කියැවෙන්නේ,",කිරි අම්මා වරුන්ගේ දානයක්,අළුත් සහල් මංගල්‍යයක්,මුරුතැන් දානයක්,දිය කැපීමේ උත්සවයක්,0,2,
මේ අතරින් දිසාපති කවු ද?,උපාලිගේ තාත්තා,සුදු අප්පොගේ තාත්තා,ජින්නාගේ තාත්තා,සිරිමත්ගේ තාත්තා,1,3,
"ජංගම දුරකථනයක් රූපවාහිනී දුරස්ථ පාලකයක් ලෙස ක්‍රියා කිරීමටනම් එයට,",ගැමා කිරණ නිකුත් කළ හැකි විය යුතුය,පාරජම්බුල කිරණ නිකුත් කළ හැකි විය යුතුය,අධෝරක්ත කිරණ නිකුත් කළ හැකි විය යුතුය,එක්ස් කිරණ නිකුත් කළ හැකි විය යුතුය,2,4,
"නිරන්තරයෙන් හිතට හිස් බවක්, දුකක් හෝ බලාපොරොත්තු සුන්වීමේ හැඟීමක් දැනෙන්නේනම් එය විය හැක්කේ,",ෆෝබියා,හීනෝන්මාදය,ඩිමෙන්ශියාව,විශාදය,3,5,
දෙමළ භාෂාව රාජ්‍ය භාෂාවක් වශයෙන් නීත්‍යානුකූලව පිළිගැනුනේ කවර වසරකදී ද?,1972,1978,1987,දෙමළ භාෂාව රාජ්‍ය භාෂාවක් නොවේ,2,6,
එකම කාණ්ඩයට අයත් සංගීත භාණ්ඩයක් නොවන්නේ මින් කුමක් ද?,තවිල්,සාරංගි,ඩොල්කිය,මද්දලය,1,7,
මේ අතරින් විශාලතම වනෝද්‍යානය කුමක් ද?,කුමන,උඩවලව,විල්පත්තුව,යාල,2,8,
මේ අතරින් සුප්‍රසිද්ධ ව්‍යාපාරික ඊලෝන් මස්ක් සමඟ සම්බන්ධතාවක් නොතිබූ සමාගම කුමක් ද?,පේ පෑල්,ටෙස්ලා,ස්පේස් එක්ස්,එල් වී එම් එච්,3,9,
"""කෙල්ලනි නුඹලා දන්නෙ නටන්නයි"" ගීතය පිළිබඳ වැරදි ප්‍රකාශය කුමක් ද?",ගීතයේ චරිත රංගනය ආනන්ද සමරකෝන්,ගීතයේ සංගීත නිර්මාණය ආනන්ද සමරකෝන්,චිත්‍රපට අධ්‍යක්ෂනය නිර්මාණය ආනන්ද සමරකෝන්,ගායනය ආනන්ද සමරකෝන්,2,10,
ඉංග්‍රීසි - සිංහල ශබ්දකෝෂයේ මේ අතරින් මුලින්ම හමුවන්නේ කුමක් ද?,Adjust,Actor,Above,After,2,1,
"මල = 21, මත = 25 නම්, තලමල කුමක් ද?",2151,2515,5121,5212,2,2,
විසිකිරීමට පෙර කෙලින් දුවන්නේ මින් කවු ද?,යගුලිය විසි කිරීමේ ක්‍රීඩකයා,හෙල්ල විසි කිරීමේ ක්‍රීඩකයා,මිටිය විසි කිරීමේ ක්‍රීඩකයා,කවපෙත්ත විසි කිරීමේ ක්‍රීඩකයා,1,3,
නිල්වලා ගඟ මුහුදට වැටෙන්නේ මින් කුමන වෙරළ තීරයක් ආසන්නයෙන් ද?,පොල්හේන වෙරළ තීරය,ඔකඳ වෙරළ තීරය,ඉඳුරුව වෙරළ තීරය,රැකව වෙරළ තීරය,0,4,
මේ අතරින් අනුරාධපුර යුගය පාදක වූ දිත්‍රපටයක් නොවන්නේ කුමක් ද?,The God King,ආලෝකෝ උදපාදි,මහින්දාගමනය,සිරි පැරකුම්,3,5,
ඒ සයිමන් ද සිල්වා,ලංකාවේ ප්‍රථම චිත්‍රපට අධ්‍යක්ෂකවරයා වේ,ලංකාවේ ප්‍රථම චිත්‍රපට නළුවා වේ,ලංකාවේ ප්‍රථම නවකතාවේ කතුවරයා වේ,ලංකාවේ ප්‍රථම පුවත්පත් කතුවරයා වේ,2,6,
මේ අතරින් නිවැරදි කුමක් ද?,වතුර ඝණ මීටරයට වඩා අයිස් ඝණ මීටරය බරින් යුක්ත ය,වතුර කිලෝග්‍රෑමයකට වඩා අයිස් කිලෝග්‍රෑමයක පරිමාව වැඩිය,වතුර ඝණ මීටරයක සහ අයිස් ඝණ මීටරක බර සමානය,වතුර කිලෝග්‍රෑමයක සහ අයිස් කිලෝග්‍රෑමයක පරිමාව සමානය,1,7,
"""වහෙන් ඔරෝ"" යන්න ""ඔහෙන් වරෝ"" වන්නේ කෙසේ ද?",පද බෙදීමෙන්,පද පෙරළියෙන්,පද වෙන් කිරීමෙන්,පද හැදීමෙන්,1,1,
